stage 1: crash gate, 142-v92prune vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    131 games  .... llr -2.45 [-2.94, 2.94] after 65 pairs, elo -56.6 +/- 46.0
    132 games  .... llr -2.60 [-2.94, 2.94] after 66 pairs, elo -61.2 +/- 46.2
    134 games  .... llr -2.75 [-2.94, 2.94] after 67 pairs, elo -65.6 +/- 46.5
    136 games  .... llr -2.89 [-2.94, 2.94] after 68 pairs, elo -69.9 +/- 46.7
    138 games  .... llr -2.94 [-2.94, 2.94] after 69 pairs, elo -68.9 +/- 46.0
    140 games  FAIL llr -3.07 [-2.94, 2.94] after 70 pairs, elo -70.4 +/- 45.5

C:\dev\aichessathon\starter\overnight\challengers\142-v92prune vs C:\dev\aichessathon\starter
  +33 =46 -61  score 40.0%  over 140 games
  FAIL llr -3.07 [-2.94, 2.94] after 70 pairs, elo -70.4 +/- 45.5
  mean game length 145 plies
  terminations: adjudication 1, checkmate 93, fifty_moves 2, insufficient_material 17, threefold_repetition 27

REJECT  142-v92prune  no better than the champion
