stage 1: crash gate, 153-mixnet2 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    130 games  .... llr +0.09 [-2.94, 2.94] after 65 pairs, elo +13.4 +/- 53.8
    133 games  .... llr +0.23 [-2.94, 2.94] after 66 pairs, elo +18.4 +/- 54.1
    134 games  .... llr +0.15 [-2.94, 2.94] after 67 pairs, elo +15.6 +/- 53.5
    136 games  .... llr +0.15 [-2.94, 2.94] after 68 pairs, elo +15.3 +/- 52.7
    138 games  .... llr +0.08 [-2.94, 2.94] after 69 pairs, elo +12.6 +/- 52.1
    140 games  .... llr +0.15 [-2.94, 2.94] after 70 pairs, elo +14.9 +/- 51.6
    143 games  .... llr +0.22 [-2.94, 2.94] after 71 pairs, elo +17.1 +/- 51.1
    144 games  .... llr +0.35 [-2.94, 2.94] after 72 pairs, elo +21.7 +/- 51.4
    146 games  .... llr +0.43 [-2.94, 2.94] after 73 pairs, elo +23.8 +/- 50.9
    148 games  .... llr +0.35 [-2.94, 2.94] after 74 pairs, elo +21.2 +/- 50.4
    150 games  .... llr +0.35 [-2.94, 2.94] after 75 pairs, elo +20.9 +/- 49.7
    152 games  .... llr +0.49 [-2.94, 2.94] after 76 pairs, elo +25.2 +/- 50.0
    154 games  .... llr +0.49 [-2.94, 2.94] after 77 pairs, elo +24.9 +/- 49.3
    156 games  .... llr +0.49 [-2.94, 2.94] after 78 pairs, elo +24.5 +/- 48.6
    158 games  .... llr +0.41 [-2.94, 2.94] after 79 pairs, elo +22.0 +/- 48.2
    160 games  .... llr +0.33 [-2.94, 2.94] after 80 pairs, elo +19.6 +/- 47.7
    163 games  .... llr +0.25 [-2.94, 2.94] after 81 pairs, elo +17.2 +/- 47.3
    165 games  .... llr +0.17 [-2.94, 2.94] after 82 pairs, elo +14.8 +/- 46.9
    166 games  .... llr +0.25 [-2.94, 2.94] after 83 pairs, elo +16.8 +/- 46.5
    168 games  .... llr +0.25 [-2.94, 2.94] after 84 pairs, elo +16.6 +/- 45.9
    170 games  .... llr +0.16 [-2.94, 2.94] after 85 pairs, elo +14.3 +/- 45.5
    172 games  .... llr +0.24 [-2.94, 2.94] after 86 pairs, elo +16.2 +/- 45.2
    175 games  .... llr +0.31 [-2.94, 2.94] after 87 pairs, elo +18.0 +/- 44.9
    177 games  .... llr +0.15 [-2.94, 2.94] after 88 pairs, elo +13.8 +/- 45.0
    178 games  .... llr +0.07 [-2.94, 2.94] after 89 pairs, elo +11.7 +/- 44.6
    180 games  .... llr +0.06 [-2.94, 2.94] after 90 pairs, elo +11.6 +/- 44.1
    182 games  .... llr +0.06 [-2.94, 2.94] after 91 pairs, elo +11.5 +/- 43.6
    184 games  .... llr +0.14 [-2.94, 2.94] after 92 pairs, elo +13.2 +/- 43.3
    186 games  .... llr +0.21 [-2.94, 2.94] after 93 pairs, elo +15.0 +/- 43.0
    188 games  .... llr +0.29 [-2.94, 2.94] after 94 pairs, elo +16.6 +/- 42.7
    190 games  .... llr +0.36 [-2.94, 2.94] after 95 pairs, elo +18.3 +/- 42.5
    193 games  .... llr +0.36 [-2.94, 2.94] after 96 pairs, elo +18.1 +/- 42.0
    194 games  .... llr +0.51 [-2.94, 2.94] after 97 pairs, elo +21.5 +/- 42.2
    196 games  .... llr +0.34 [-2.94, 2.94] after 98 pairs, elo +17.7 +/- 42.3
    198 games  .... llr +0.49 [-2.94, 2.94] after 99 pairs, elo +21.1 +/- 42.5
    200 games  .... llr +0.40 [-2.94, 2.94] after 100 pairs, elo +19.1 +/- 42.2
  checkpoint 200: +19 Elo, trending positive -> PROMOTE early

C:\dev\aichessathon\starter\overnight\challengers\153-mixnet2 vs C:\dev\aichessathon\starter
  +77 =57 -66  score 52.8%  over 200 games
  PASS llr +0.40 [-2.94, 2.94] after 100 pairs, elo +19.1 +/- 42.2
  mean game length 145 plies
  terminations: adjudication 7, checkmate 137, fifty_moves 7, insufficient_material 21, stalemate 2, threefold_repetition 26

PROMOTE  153-mixnet2  +19 Elo over 200 games
