stage 1: crash gate, 155-mixnet2s vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    130 games  .... llr +0.71 [-2.94, 2.94] after 65 pairs, elo +32.2 +/- 50.3
    132 games  .... llr +0.62 [-2.94, 2.94] after 66 pairs, elo +29.0 +/- 49.8
    134 games  .... llr +0.70 [-2.94, 2.94] after 67 pairs, elo +31.2 +/- 49.3
    136 games  .... llr +0.71 [-2.94, 2.94] after 68 pairs, elo +30.7 +/- 48.6
    138 games  .... llr +0.62 [-2.94, 2.94] after 69 pairs, elo +27.8 +/- 48.1
    140 games  .... llr +0.62 [-2.94, 2.94] after 70 pairs, elo +27.4 +/- 47.4
    142 games  .... llr +0.53 [-2.94, 2.94] after 71 pairs, elo +24.5 +/- 46.9
    144 games  .... llr +0.61 [-2.94, 2.94] after 72 pairs, elo +26.6 +/- 46.5
    146 games  .... llr +0.52 [-2.94, 2.94] after 73 pairs, elo +23.8 +/- 46.1
    148 games  .... llr +0.52 [-2.94, 2.94] after 74 pairs, elo +23.5 +/- 45.4
    150 games  .... llr +0.52 [-2.94, 2.94] after 75 pairs, elo +23.2 +/- 44.8
    152 games  .... llr +0.32 [-2.94, 2.94] after 76 pairs, elo +18.3 +/- 45.1
    154 games  .... llr +0.41 [-2.94, 2.94] after 77 pairs, elo +20.3 +/- 44.8
    156 games  .... llr +0.31 [-2.94, 2.94] after 78 pairs, elo +17.8 +/- 44.4
    159 games  .... llr +0.31 [-2.94, 2.94] after 79 pairs, elo +17.6 +/- 43.8
    160 games  .... llr +0.31 [-2.94, 2.94] after 80 pairs, elo +17.4 +/- 43.3
    162 games  .... llr +0.21 [-2.94, 2.94] after 81 pairs, elo +15.0 +/- 42.9
    164 games  .... llr +0.03 [-2.94, 2.94] after 82 pairs, elo +10.6 +/- 43.2
    166 games  .... llr -0.07 [-2.94, 2.94] after 83 pairs, elo +8.4 +/- 42.8
    168 games  .... llr -0.16 [-2.94, 2.94] after 84 pairs, elo +6.2 +/- 42.5
    170 games  .... llr -0.34 [-2.94, 2.94] after 85 pairs, elo +2.0 +/- 42.7
    173 games  .... llr -0.35 [-2.94, 2.94] after 86 pairs, elo +2.0 +/- 42.2
    174 games  .... llr -0.36 [-2.94, 2.94] after 87 pairs, elo +2.0 +/- 41.7
    176 games  .... llr -0.53 [-2.94, 2.94] after 88 pairs, elo -2.0 +/- 41.9
    178 games  .... llr -0.62 [-2.94, 2.94] after 89 pairs, elo -3.9 +/- 41.6
    180 games  .... llr -0.44 [-2.94, 2.94] after 90 pairs, elo -0.0 +/- 41.9
    182 games  .... llr -0.45 [-2.94, 2.94] after 91 pairs, elo -0.0 +/- 41.4
    184 games  .... llr -0.37 [-2.94, 2.94] after 92 pairs, elo +1.9 +/- 41.2
    186 games  .... llr -0.38 [-2.94, 2.94] after 93 pairs, elo +1.9 +/- 40.7
    188 games  .... llr -0.30 [-2.94, 2.94] after 94 pairs, elo +3.7 +/- 40.5
    190 games  .... llr -0.13 [-2.94, 2.94] after 95 pairs, elo +7.3 +/- 40.7
    192 games  .... llr -0.30 [-2.94, 2.94] after 96 pairs, elo +3.6 +/- 40.9
    194 games  .... llr -0.22 [-2.94, 2.94] after 97 pairs, elo +5.4 +/- 40.6
