stage 1: crash gate, 150-sfnet vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    131 games  .... llr +0.81 [-2.94, 2.94] after 65 pairs, elo +34.9 +/- 50.0
    133 games  .... llr +0.71 [-2.94, 2.94] after 66 pairs, elo +31.7 +/- 49.5
    134 games  .... llr +0.72 [-2.94, 2.94] after 67 pairs, elo +31.2 +/- 48.7
    136 games  .... llr +0.63 [-2.94, 2.94] after 68 pairs, elo +28.2 +/- 48.3
    138 games  .... llr +0.63 [-2.94, 2.94] after 69 pairs, elo +27.8 +/- 47.5
    140 games  .... llr +0.72 [-2.94, 2.94] after 70 pairs, elo +29.9 +/- 47.1
    143 games  .... llr +0.81 [-2.94, 2.94] after 71 pairs, elo +31.9 +/- 46.7
    144 games  .... llr +0.60 [-2.94, 2.94] after 72 pairs, elo +26.6 +/- 47.0
    146 games  .... llr +0.60 [-2.94, 2.94] after 73 pairs, elo +26.2 +/- 46.4
    148 games  .... llr +0.61 [-2.94, 2.94] after 74 pairs, elo +25.9 +/- 45.7
    150 games  .... llr +0.51 [-2.94, 2.94] after 75 pairs, elo +23.2 +/- 45.3
    152 games  .... llr +0.51 [-2.94, 2.94] after 76 pairs, elo +22.9 +/- 44.7
    154 games  .... llr +0.51 [-2.94, 2.94] after 77 pairs, elo +22.6 +/- 44.1
    156 games  .... llr +0.52 [-2.94, 2.94] after 78 pairs, elo +22.3 +/- 43.5
    159 games  .... llr +0.61 [-2.94, 2.94] after 79 pairs, elo +24.2 +/- 43.2
    160 games  .... llr +0.61 [-2.94, 2.94] after 80 pairs, elo +23.9 +/- 42.6
    162 games  .... llr +0.61 [-2.94, 2.94] after 81 pairs, elo +23.6 +/- 42.1
    164 games  .... llr +0.51 [-2.94, 2.94] after 82 pairs, elo +21.2 +/- 41.8
    166 games  .... llr +0.30 [-2.94, 2.94] after 83 pairs, elo +16.8 +/- 42.1
    168 games  .... llr +0.20 [-2.94, 2.94] after 84 pairs, elo +14.5 +/- 41.7
    170 games  .... llr +0.37 [-2.94, 2.94] after 85 pairs, elo +18.4 +/- 42.1
    172 games  .... llr +0.37 [-2.94, 2.94] after 86 pairs, elo +18.2 +/- 41.6
    175 games  .... llr +0.37 [-2.94, 2.94] after 87 pairs, elo +18.0 +/- 41.1
    176 games  .... llr +0.27 [-2.94, 2.94] after 88 pairs, elo +15.8 +/- 40.8
    178 games  .... llr +0.18 [-2.94, 2.94] after 89 pairs, elo +13.7 +/- 40.5
    180 games  .... llr +0.35 [-2.94, 2.94] after 90 pairs, elo +17.4 +/- 40.8
    182 games  .... llr +0.44 [-2.94, 2.94] after 91 pairs, elo +19.1 +/- 40.5
    185 games  .... llr +0.53 [-2.94, 2.94] after 92 pairs, elo +20.8 +/- 40.3
    186 games  .... llr +0.53 [-2.94, 2.94] after 93 pairs, elo +20.6 +/- 39.8
    188 games  .... llr +0.43 [-2.94, 2.94] after 94 pairs, elo +18.5 +/- 39.6
    190 games  .... llr +0.52 [-2.94, 2.94] after 95 pairs, elo +20.1 +/- 39.3
    192 games  .... llr +0.69 [-2.94, 2.94] after 96 pairs, elo +23.6 +/- 39.6
    195 games  .... llr +0.69 [-2.94, 2.94] after 97 pairs, elo +23.3 +/- 39.2
    196 games  .... llr +0.59 [-2.94, 2.94] after 98 pairs, elo +21.3 +/- 38.9
    198 games  .... llr +0.49 [-2.94, 2.94] after 99 pairs, elo +19.3 +/- 38.7
    200 games  .... llr +0.49 [-2.94, 2.94] after 100 pairs, elo +19.1 +/- 38.3
  checkpoint 200: +19 Elo, trending positive -> PROMOTE early

C:\dev\aichessathon\starter\overnight\challengers\150-sfnet vs C:\dev\aichessathon\starter
  +73 =65 -62  score 52.8%  over 200 games
  PASS llr +0.49 [-2.94, 2.94] after 100 pairs, elo +19.1 +/- 38.3
  mean game length 137 plies
  terminations: adjudication 2, checkmate 134, fifty_moves 7, insufficient_material 29, stalemate 2, threefold_repetition 26

PROMOTE  150-sfnet  +19 Elo over 200 games
