stage 1: crash gate, 131-v9all vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 250 pairs over 119 openings, 2.1 repeats each -- the SPRT will read more confident than the evidence warrants
      4 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      5 games  .... llr -0.08 [-2.94, 2.94] after 2 pairs, elo -0.0 +/- 98.9
      7 games  .... llr +0.29 [-2.94, 2.94] after 3 pairs, elo +58.5 +/- 129.3
     11 games  .... llr +0.35 [-2.94, 2.94] after 4 pairs, elo +43.7 +/- 91.3
     12 games  .... llr +0.66 [-2.94, 2.94] after 5 pairs, elo +70.4 +/- 93.7
     13 games  .... llr +0.13 [-2.94, 2.94] after 6 pairs, elo +29.0 +/- 111.8
     14 games  .... llr +0.31 [-2.94, 2.94] after 7 pairs, elo +75.6 +/- 152.3
     17 games  .... llr +0.35 [-2.94, 2.94] after 8 pairs, elo +65.9 +/- 127.2
     18 games  .... llr +0.51 [-2.94, 2.94] after 9 pairs, elo +78.5 +/- 117.1
     20 games  .... llr +0.55 [-2.94, 2.94] after 10 pairs, elo +70.4 +/- 102.9
     24 games  .... llr +0.33 [-2.94, 2.94] after 11 pairs, elo +47.7 +/- 101.0
     25 games  .... llr +0.50 [-2.94, 2.94] after 12 pairs, elo +73.5 +/- 112.9
     26 games  .... llr +0.65 [-2.94, 2.94] after 13 pairs, elo +95.9 +/- 121.3
     28 games  .... llr +0.50 [-2.94, 2.94] after 14 pairs, elo +75.6 +/- 115.0
     31 games  .... llr +0.63 [-2.94, 2.94] after 15 pairs, elo +82.6 +/- 109.0
     32 games  .... llr +0.49 [-2.94, 2.94] after 16 pairs, elo +65.9 +/- 104.2
     34 games  .... llr +0.52 [-2.94, 2.94] after 17 pairs, elo +62.0 +/- 96.9
     36 games  .... llr +0.54 [-2.94, 2.94] after 18 pairs, elo +58.5 +/- 90.5
     38 games  .... llr +0.66 [-2.94, 2.94] after 19 pairs, elo +64.7 +/- 87.3
     41 games  .... llr +0.80 [-2.94, 2.94] after 20 pairs, elo +70.4 +/- 84.3
     42 games  .... llr +0.82 [-2.94, 2.94] after 21 pairs, elo +67.0 +/- 79.6
     44 games  .... llr +0.85 [-2.94, 2.94] after 22 pairs, elo +63.9 +/- 75.5
     46 games  .... llr +1.01 [-2.94, 2.94] after 23 pairs, elo +76.8 +/- 78.8
     48 games  .... llr +0.85 [-2.94, 2.94] after 24 pairs, elo +65.9 +/- 77.2
     50 games  .... llr +0.98 [-2.94, 2.94] after 25 pairs, elo +70.4 +/- 75.1
     52 games  .... llr +0.83 [-2.94, 2.94] after 26 pairs, elo +60.7 +/- 73.7
     55 games  .... llr +0.96 [-2.94, 2.94] after 27 pairs, elo +65.1 +/- 71.8
     56 games  .... llr +0.99 [-2.94, 2.94] after 28 pairs, elo +62.7 +/- 68.9
     58 games  .... llr +0.84 [-2.94, 2.94] after 29 pairs, elo +54.4 +/- 67.8
     61 games  .... llr +0.96 [-2.94, 2.94] after 30 pairs, elo +58.5 +/- 66.4
     62 games  .... llr +0.99 [-2.94, 2.94] after 31 pairs, elo +56.5 +/- 64.0
     64 games  .... llr +1.12 [-2.94, 2.94] after 32 pairs, elo +60.3 +/- 62.7
     67 games  .... llr +1.14 [-2.94, 2.94] after 33 pairs, elo +58.5 +/- 60.7
     69 games  .... llr +1.17 [-2.94, 2.94] after 34 pairs, elo +56.7 +/- 58.7
     70 games  .... llr +1.00 [-2.94, 2.94] after 35 pairs, elo +50.0 +/- 58.1
     72 games  .... llr +0.85 [-2.94, 2.94] after 36 pairs, elo +43.7 +/- 57.4
     75 games  .... llr +0.87 [-2.94, 2.94] after 37 pairs, elo +42.5 +/- 55.8
     76 games  .... llr +1.00 [-2.94, 2.94] after 38 pairs, elo +46.0 +/- 54.9
     78 games  .... llr +1.17 [-2.94, 2.94] after 39 pairs, elo +53.9 +/- 56.4
     82 games  .... llr +1.03 [-2.94, 2.94] after 40 pairs, elo +48.1 +/- 55.8
     83 games  .... llr +0.71 [-2.94, 2.94] after 41 pairs, elo +38.3 +/- 57.3
     84 games  .... llr +0.82 [-2.94, 2.94] after 42 pairs, elo +41.6 +/- 56.5
     86 games  .... llr +0.99 [-2.94, 2.94] after 43 pairs, elo +48.8 +/- 57.6
     89 games  .... llr +0.87 [-2.94, 2.94] after 44 pairs, elo +43.7 +/- 56.9
     91 games  .... llr +0.61 [-2.94, 2.94] after 45 pairs, elo +34.9 +/- 57.8
     92 games  .... llr +0.51 [-2.94, 2.94] after 46 pairs, elo +30.3 +/- 57.0
     94 games  .... llr +0.67 [-2.94, 2.94] after 47 pairs, elo +37.1 +/- 57.9
     97 games  .... llr +0.45 [-2.94, 2.94] after 48 pairs, elo +29.0 +/- 58.5
     98 games  .... llr +0.46 [-2.94, 2.94] after 49 pairs, elo +28.4 +/- 57.2
