stage 1: crash gate, 149-v94wdl vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    130 games  .... llr +1.83 [-2.94, 2.94] after 65 pairs, elo +70.4 +/- 54.1
    132 games  .... llr +1.85 [-2.94, 2.94] after 66 pairs, elo +69.3 +/- 53.2
    134 games  .... llr +1.87 [-2.94, 2.94] after 67 pairs, elo +68.3 +/- 52.3
    137 games  .... llr +1.89 [-2.94, 2.94] after 68 pairs, elo +67.2 +/- 51.5
    138 games  .... llr +1.91 [-2.94, 2.94] after 69 pairs, elo +66.3 +/- 50.6
    140 games  .... llr +1.93 [-2.94, 2.94] after 70 pairs, elo +65.3 +/- 49.8
    142 games  .... llr +1.95 [-2.94, 2.94] after 71 pairs, elo +64.3 +/- 49.1
    144 games  .... llr +2.09 [-2.94, 2.94] after 72 pairs, elo +68.4 +/- 49.4
    146 games  .... llr +2.23 [-2.94, 2.94] after 73 pairs, elo +72.4 +/- 49.7
    148 games  .... llr +2.34 [-2.94, 2.94] after 74 pairs, elo +73.9 +/- 49.2
    150 games  .... llr +2.36 [-2.94, 2.94] after 75 pairs, elo +72.9 +/- 48.5
    152 games  .... llr +2.38 [-2.94, 2.94] after 76 pairs, elo +71.9 +/- 47.8
    154 games  .... llr +2.10 [-2.94, 2.94] after 77 pairs, elo +66.2 +/- 48.1
    156 games  .... llr +2.21 [-2.94, 2.94] after 78 pairs, elo +67.7 +/- 47.7
    158 games  .... llr +2.23 [-2.94, 2.94] after 79 pairs, elo +66.8 +/- 47.0
    161 games  .... llr +2.25 [-2.94, 2.94] after 80 pairs, elo +65.9 +/- 46.4
    162 games  .... llr +2.39 [-2.94, 2.94] after 81 pairs, elo +69.5 +/- 46.6
    164 games  .... llr +2.28 [-2.94, 2.94] after 82 pairs, elo +66.5 +/- 46.3
    166 games  .... llr +2.38 [-2.94, 2.94] after 83 pairs, elo +67.8 +/- 45.9
    168 games  .... llr +2.41 [-2.94, 2.94] after 84 pairs, elo +67.0 +/- 45.3
    170 games  .... llr +2.51 [-2.94, 2.94] after 85 pairs, elo +68.3 +/- 44.9
    172 games  .... llr +2.24 [-2.94, 2.94] after 86 pairs, elo +63.3 +/- 45.2
    174 games  .... llr +2.26 [-2.94, 2.94] after 87 pairs, elo +62.6 +/- 44.6
    176 games  .... llr +2.16 [-2.94, 2.94] after 88 pairs, elo +59.8 +/- 44.3
    178 games  .... llr +2.30 [-2.94, 2.94] after 89 pairs, elo +63.1 +/- 44.5
    180 games  .... llr +2.31 [-2.94, 2.94] after 90 pairs, elo +62.4 +/- 44.0
    182 games  .... llr +2.41 [-2.94, 2.94] after 91 pairs, elo +63.7 +/- 43.6
    184 games  .... llr +2.43 [-2.94, 2.94] after 92 pairs, elo +63.0 +/- 43.1
    186 games  .... llr +2.58 [-2.94, 2.94] after 93 pairs, elo +66.2 +/- 43.3
    188 games  .... llr +2.68 [-2.94, 2.94] after 94 pairs, elo +67.4 +/- 43.0
    190 games  .... llr +2.82 [-2.94, 2.94] after 95 pairs, elo +70.4 +/- 43.2
    192 games  .... llr +2.84 [-2.94, 2.94] after 96 pairs, elo +69.7 +/- 42.7
    194 games  .... llr +2.86 [-2.94, 2.94] after 97 pairs, elo +68.9 +/- 42.2
    196 games  PASS llr +2.97 [-2.94, 2.94] after 98 pairs, elo +70.1 +/- 41.9

C:\dev\aichessathon\starter\overnight\challengers\149-v94wdl vs C:\dev\aichessathon\starter
  +92 =51 -53  score 59.9%  over 196 games
  PASS llr +2.97 [-2.94, 2.94] after 98 pairs, elo +70.1 +/- 41.9
  mean game length 139 plies
  terminations: checkmate 145, fifty_moves 9, insufficient_material 19, stalemate 1, threefold_repetition 22

PROMOTE  149-v94wdl  +70 Elo over 196 games
