stage 1: crash gate, 160-v95 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    130 games  .... llr -0.36 [-2.94, 2.94] after 65 pairs, elo -5.3 +/- 57.7
    132 games  .... llr -0.43 [-2.94, 2.94] after 66 pairs, elo -7.9 +/- 57.0
    134 games  .... llr -0.37 [-2.94, 2.94] after 67 pairs, elo -5.2 +/- 56.4
    137 games  .... llr -0.31 [-2.94, 2.94] after 68 pairs, elo -2.6 +/- 55.9
    138 games  .... llr -0.38 [-2.94, 2.94] after 69 pairs, elo -5.0 +/- 55.2
    140 games  .... llr -0.45 [-2.94, 2.94] after 70 pairs, elo -7.4 +/- 54.6
    144 games  .... llr -0.40 [-2.94, 2.94] after 71 pairs, elo -4.9 +/- 54.1
    145 games  .... llr -0.40 [-2.94, 2.94] after 72 pairs, elo -4.8 +/- 53.3
    146 games  .... llr -0.41 [-2.94, 2.94] after 73 pairs, elo -4.8 +/- 52.6
    148 games  .... llr -0.49 [-2.94, 2.94] after 74 pairs, elo -7.0 +/- 52.0
    151 games  .... llr -0.50 [-2.94, 2.94] after 75 pairs, elo -6.9 +/- 51.3
    152 games  .... llr -0.44 [-2.94, 2.94] after 76 pairs, elo -4.6 +/- 50.9
    154 games  .... llr -0.45 [-2.94, 2.94] after 77 pairs, elo -4.5 +/- 50.2
    157 games  .... llr -0.58 [-2.94, 2.94] after 78 pairs, elo -8.9 +/- 50.2
    158 games  .... llr -0.59 [-2.94, 2.94] after 79 pairs, elo -8.8 +/- 49.6
    160 games  .... llr -0.67 [-2.94, 2.94] after 80 pairs, elo -10.9 +/- 49.1
    162 games  .... llr -0.68 [-2.94, 2.94] after 81 pairs, elo -10.7 +/- 48.5
    164 games  .... llr -0.69 [-2.94, 2.94] after 82 pairs, elo -10.6 +/- 47.9
    166 games  .... llr -0.77 [-2.94, 2.94] after 83 pairs, elo -12.6 +/- 47.5
    168 games  .... llr -0.71 [-2.94, 2.94] after 84 pairs, elo -10.3 +/- 47.1
    170 games  .... llr -0.79 [-2.94, 2.94] after 85 pairs, elo -12.3 +/- 46.7
    173 games  .... llr -0.72 [-2.94, 2.94] after 86 pairs, elo -10.1 +/- 46.4
    174 games  .... llr -0.80 [-2.94, 2.94] after 87 pairs, elo -12.0 +/- 45.9
